               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059665,             0.02882,            0.043057,             0.74858,             0.24461,             0.26119,             0.15115,            0.044967,            0.017597,              0.0313,            0.070702,           0.0039952,           0.0039952
                   1,            0.045023,            0.024098,            0.031205,             0.66248,             0.39339,              0.4153,             0.23211,            0.041129,             0.01732,            0.026696,            0.041216,           0.0078429,           0.0078429
                   2,            0.044937,            0.024744,            0.028628,             0.53712,             0.33023,             0.32924,             0.18246,            0.045544,            0.019298,            0.028346,            0.011578,            0.011538,            0.011538
                   3,            0.043915,            0.025146,            0.027526,             0.63769,             0.38923,             0.41675,             0.23812,            0.042136,            0.018963,            0.027156,            0.011314,            0.011314,            0.011314
                   4,            0.041614,            0.024146,            0.024539,             0.64621,             0.46786,             0.48389,             0.27483,            0.040716,             0.01739,            0.023839,            0.011314,            0.011314,            0.011314
                   5,            0.040067,            0.023713,            0.022714,              0.6839,             0.45119,             0.51991,              0.3025,            0.038577,            0.016766,            0.022833,            0.011086,            0.011086,            0.011086
                   6,            0.038605,            0.023449,            0.020789,             0.70916,              0.4776,             0.55386,             0.33557,            0.038282,            0.016903,            0.021716,            0.010857,            0.010857,            0.010857
                   7,            0.037649,            0.022636,            0.019415,             0.74708,             0.45682,              0.5374,             0.32894,             0.03727,            0.017102,            0.022624,            0.010629,            0.010629,            0.010629
                   8,            0.036964,            0.022327,            0.018006,             0.67926,             0.51919,             0.57895,             0.36376,            0.035997,            0.015853,            0.022627,              0.0104,              0.0104,              0.0104
                   9,            0.036346,             0.02205,            0.017323,             0.70773,             0.52471,             0.59268,              0.3806,            0.034849,            0.015715,            0.020208,            0.010171,            0.010171,            0.010171
                  10,            0.035865,            0.021739,             0.01604,              0.6791,             0.54909,             0.59787,             0.38218,            0.035152,            0.015577,            0.022276,           0.0099429,           0.0099429,           0.0099429
                  11,            0.035189,            0.021464,            0.015475,             0.71076,             0.57716,              0.6442,             0.39132,            0.036038,            0.015447,            0.019727,           0.0097143,           0.0097143,           0.0097143
                  12,            0.034887,            0.021298,            0.014365,             0.77755,             0.51661,             0.61813,             0.40208,            0.034616,            0.015408,            0.019985,           0.0094857,           0.0094857,           0.0094857
                  13,            0.034342,            0.020806,            0.013145,             0.68912,              0.6091,             0.64701,             0.42521,            0.034014,            0.015169,            0.020325,           0.0092571,           0.0092571,           0.0092571
                  14,            0.034065,            0.020854,            0.012624,             0.73096,             0.59906,             0.66718,             0.44543,            0.032612,            0.015238,            0.019075,           0.0090286,           0.0090286,           0.0090286
                  15,            0.033362,            0.020493,            0.011811,             0.70954,             0.59984,             0.66017,              0.4385,            0.032731,            0.015278,            0.019761,              0.0088,              0.0088,              0.0088
                  16,             0.03316,            0.020132,            0.011151,             0.73672,             0.60793,             0.66028,             0.44038,            0.032435,            0.015022,            0.019591,           0.0085714,           0.0085714,           0.0085714
                  17,            0.032937,            0.019888,            0.010651,             0.75087,             0.60805,             0.67841,             0.45929,            0.032074,            0.014943,             0.01992,           0.0083429,           0.0083429,           0.0083429
                  18,              0.0325,            0.019894,            0.010248,             0.76884,             0.60818,             0.67687,             0.45723,            0.032082,            0.014909,             0.02025,           0.0081143,           0.0081143,           0.0081143
                  19,            0.032087,            0.019683,            0.009572,             0.74542,             0.62737,             0.68069,             0.46378,             0.03154,            0.014753,            0.019739,           0.0078857,           0.0078857,           0.0078857
